id,severity,confidence,category,finding,evidence,impact,required_fix,required_tests,status,implementing_sha,assigned_wave,notes
FP-036,P2,CONFIRMED,Counterevidence performance,Counterevidence source reads are sequential,counterevidence worker,Avoidable latency on multi-source challenge,Bounded concurrency with same safety/fence rules,Multiple challenge URLs complete under bounded concurrency,OPEN,,4-retrieval,
FP-037,P2,HIGH,Counterevidence resilience,Challenge becomes unresolved if any source unreadable even if others suffice,counterevidence read handling,Useful disconfirmation can be discarded,Evaluate readable subset; disclose inaccessible decisive sources; only block when required,1 blocked + 2 decisive readable challenge sources,OPEN,,4-retrieval,
FP-038,P2,CONFIRMED,URL canonicalization,Adoption dedupes mainly exact canonical_locator,search-sources.ts,Tracking params/fragments/redirect aliases inflate source breadth/cost,Safe URL canonicalization + final redirect canonical locator; preserve version-distinct URLs,utm params/trailing slash/fragments/redirect equivalents dedupe,OPEN,,4-retrieval,
FP-039,P1,HIGH,Source policy,"Domain policy is enforced on discovered locator, not clearly on final redirect URL",search adoption vs safeFetch redirect,Allowed/trusted hit may redirect to excluded domain and still be ingested,Reapply source policy after final redirect; store requested+final URL,Allowed.com -> excluded.com redirect blocked or marked,OPEN,,4-retrieval,
FP-040,P1,CONFIRMED,Source policy semantics,prefer_primary behaves as primary-only exclusion,source-policy.ts applySourcePolicy,Legitimate independent sources are discarded instead of de-prioritized,Separate rank preference from allow/deny; fallback to secondary if primary inadequate,prefer_primary keeps secondary candidates but ranks/uses primary first,OPEN,,4-retrieval,
FP-041,P1,CONFIRMED,Primary classification,Official-host heuristic is mainly gov/intergovernmental,source-policy.ts,Vendor docs/standards/project docs incorrectly excluded from primary strategy,"Classify primary by source class/entity relationship, not hostname suffix alone",Apple/NVIDIA/Python/SEC/standards cases,OPEN,,4-retrieval,
FP-042,P1,CONFIRMED,Direct URL,userSuppliedUrls/source policy is persisted but not actually fetched by structured worker,source-policy/steering vs structured-research,'Check this URL too' can appear accepted without reading URL,First-class URL ingestion action through safe fetch/source identity pipeline,"Add URL during run -> actual source read, event, evidence membership",OPEN,,4-retrieval,
FP-043,P1,CONFIRMED,Freshness,Freshness unknown is not considered unmet,sourcesHaveUnmetFreshness only checks stale,Undated current-price/legal/version evidence can satisfy stop logic,"For policies requiring date/version, unknown must remain unmet/uncertain","Current price with no source date continues/publishes limitation, not 'fresh'",OPEN,,4-retrieval,
FP-044,P1,CONFIRMED,Freshness metadata,Strategy sources carry publicationDate only; legal effectiveDate/version absent,loadRunStoredSources + freshness policy,Law/compatibility freshness requirements cannot actually be proven,Persist/propagate retrievedAt/effectiveDate/version with provenance,Legal and compatibility end-to-end freshness tests,OPEN,,4-retrieval,
FP-045,P2,CONFIRMED,Source quality,loadRunStoredSources flattens accessLevel to snippet,retrieval-intelligence.ts,Weak-source/breadth decisions ignore successful full reads,Load best authorized source-version access/coverage,Full-read source not classified as snippet,OPEN,,4-retrieval,
FP-046,P2,CONFIRMED,Date extraction,Publication date parser grabs simple ISO date from title/snippet,source-dates/search adoption,Can misinterpret event/version date as publication date,Treat as low-confidence metadata unless provider supplies explicit date; provenance flag,Unrelated date in snippet doesn't become authoritative publication date,OPEN,,4-retrieval,
FP-047,P2,CONFIRMED,Search timeout,Search transport uses fixed 45s deadline,public-search/live-web,Potential mismatch with deep route/slow provider; no task-aware policy,Versioned search deadline policy + overall run deadline,Timeout classifications and unknown handling,OPEN,,4-retrieval,
FP-048,P2,CONFIRMED,Query planner,planTypedQuery mostly deterministic lexicon/standards and can be non-authoritative,query-planning + worker,Looks like semantic reformulation but can be decorative,Either wire its exact produced query into action authority or add real model-assisted provenance-checked query planning,Held-out terminology tasks prove changed useful queries,OPEN,,4-retrieval,
FP-049,P1,CONFIRMED,Evidence Needs,"Evidence Needs are transient helpers, not durable adaptive state",evidence-needs.ts + structured-research.ts,Does not meet V8.1 'durable Evidence Needs' claim; restart loses state; query hints all same,Persist need lifecycle/status/evidence/action/stop reason; rebuild from durable events; criterion-specific strategy,Crash/restart preserves needs; evidence changes update one need; next action changes,OPEN,,5-intelligence,
FP-050,P2,CONFIRMED,Evidence Needs,Need value is hard-coded and candidateScope null,evidence-needs.ts,"highestValueNeed is mostly fixed sorting, not expected-value intelligence",Value from consequentiality/evidence gap/freshness/candidate impact/cost,Competing needs choose different next actions based on evidence,OPEN,,5-intelligence,
FP-051,P0,CONFIRMED,Candidate completeness,Candidate ledger module is not wired/persisted in production structured worker,candidate-ledger.ts; no worker usage found,Matrix says decision candidate completeness is real when it is not,Integrate canonical candidate ledger into extraction/discovery/correction; persist candidate states and exclusion evidence,Purchase task discovers/inspects/excludes; relaxed budget reopens exclusions and discovers new candidates,IMPLEMENTED,27beb1710efc5bd142d78782cfc167f72f6338ef,5-intelligence,Wave 5 merged; completeness requires durable queries plus stop proof; RB-CAND-01 still not PASS
FP-052,P1,CONFIRMED,Candidate completeness,candidate-ledger can mark bounded-complete based on caller flag without proof,candidate-ledger/candidate helpers,Future wiring could overclaim 'best' universe,Completeness must derive from bounded universe/search coverage/stop proof,Cannot mark complete from one search with arbitrary boolean,OPEN,,5-intelligence,
FP-053,P0,CONFIRMED,Falsification,Per-conclusion falsification helper is not wired into production,falsification helper vs structured worker; counterevidence is one run-level check,Matrix says targeted falsification is real when only coarse counterevidence runs,Persist conclusion challenge objects per consequential conclusion and source strategy,Two consequential conclusions produce independent challenge state/results,IMPLEMENTED,27beb1710efc5bd142d78782cfc167f72f6338ef,5-intelligence,Wave 5 merged; conclusion_challenges keyed by conclusion; RB-FALSIFY-01 not live PASS
FP-054,P1,CONFIRMED,Counterevidence,"Counterevidence is unique per run/revision/version, not per conclusion","migration 030 UNIQUE(run,brief,version)",Cannot represent independent falsification history for multiple conclusions,"Key challenges by conclusion/claim revision + challenge version, bounded by policy",Multiple claims challenged without overwriting each other,OPEN,,5-intelligence,
FP-055,P1,HIGH,Counterevidence scope,Only fully supported claims are primary challenge targets,production flow/support selection,Partially supported consequential claims may escape targeted falsification,"Policy based on consequentiality, uncertainty, and decision impact",Partially-supported decisive claim receives challenge,OPEN,,5-intelligence,
FP-056,P1,CONFIRMED,Intent intelligence,'Hybrid semantic' compiler is still local regex/rules; external semantic overlay not production-called,semantic-intent.ts; no production model overlay call found,Product can fail messy natural-language jobs while matrix implies semantic generality,"Add cheap structured semantic compile operation with exact provenance validation, or rename honestly and expand parser",Held-out typos/multi-intent/unknown entities/general decision tasks,OPEN,,5-intelligence,
FP-057,P2,CONFIRMED,Intent coverage,Geography/city extraction remains finite lists,geography.ts,Arbitrary cities/counties/provinces/global locations missed,General named-entity semantic extraction with provenance; deterministic lists only fast path,Unseen municipalities/global regions,OPEN,,5-intelligence,
FP-058,P2,CONFIRMED,Decision intent,Generic 'should I' often maps to open-ended research,semantic-intent.ts familyFromAct,Decision jobs can receive explanation-style research rather than decision criteria,First-class generic decision family or outcome model,Should I take X job / adopt Y tool / refinance etc.,OPEN,,5-intelligence,
FP-059,P2,CONFIRMED,Clarification semantics,private_search field conflates 'use my docs' with permission to disclose private terms,clarification-fields.ts,User may think granting document use authorizes public disclosure,Separate private document use consent from exact outbound query disclosure,Docs used locally but private terms still require exact approval,OPEN,,5-intelligence,
FP-060,P0,CONFIRMED,Document/web reconciliation,"Reconciliation outcome is lexical overlap/number/regex heuristic, not scoped semantic support",reconciliation.ts + reconcileOwnedDocumentClaims,Matrix RB-REC-01 overclaims semantic verification; false confirmation/contradiction possible,Use same support/reconciliation model+deterministic scope/number/date guards; lexical only triage,Private doc claim vs paraphrase/negation/scope/date/version adversarial cases,OPEN,,6-support-writer,
FP-061,P1,CONFIRMED,Document/web reconciliation,Only first 24 public passages and first 8 claims are reconciled,retrieval-intelligence.ts,Silent omission of claims/evidence,"Bound by decision importance with explicit unresolved coverage, not arbitrary silent slice",>8 claims / decisive passage >24 remains visible as unresolved,OPEN,,6-support-writer,
FP-062,P1,CONFIRMED,Support repair,repairSupportAssessments synthesizes supported assessments for omitted writer rows,model-span-resolution/repair helper,Application can invent semantic review the model did not provide,Missing assessment must remain missing/invalid unless deterministic proof fully substitutes under explicit versioned policy,Omitted heading/paragraph assessment fails closed; repair request may re-assess,PARTIAL,,6-support-writer,PARTIAL: empty assessments stay empty; writer-key fill still exists if some assessments returned
FP-063,P1,CONFIRMED,Coverage repair,repairCoverageReview can synthesize missing question rows when some review exists,repair helper,Application infers reviewer coverage state,Require complete model review or explicitly deterministic coverage from checked claims; don't mix silently,Partial model review missing critical question cannot become supported automatically,PARTIAL,,6-support-writer,PARTIAL: empty coverage questions not invented; partial review still fills missing questions
FP-064,P1,HIGH,Historical evidence,Write-from-prior can publish using prior evidence after later unread evidence with generic limitation,research-writer historical path,Later evidence may be materially contradictory but report still reuses old conclusion,Track criterion dependency and why later evidence is unread; only reuse unaffected claims; otherwise unresolved,Later unread source tied to decisive criterion prevents stale conclusion,OPEN,,6-support-writer,
FP-065,P1,CONFIRMED,Selection contradiction,Null/category-only claim inventory contradiction bug was recently repaired but full suite not re-proven,"scoped-support extraPassages, STATUS",Regression-prone support gate,Keep new test and rerun full suite twice after fix pass,Null-scope contradiction in omitted selected passage,PARTIAL,,6-support-writer,PARTIAL: extraPassages inspects null-scope selected bundle; full PG not twice-green yet
FP-066,P2,CONFIRMED,Origin independence,Origin clustering is title/snippet heuristic,independence.ts,False merge/split of source origins can distort 'independent evidence' count,Conservative independence: same publisher/announcement/URL/canonical signals; expose uncertainty,"Syndication, same-title independent docs, quoted press release",OPEN,,6-support-writer,
FP-067,P2,HIGH,Origin UI,Independence metadata can look stronger than heuristic basis,source API/UI,Consumer may read 'independent' as verified independence,Label unknown/conservative; never numeric independent count unless provenance strong,UI/API semantics test,OPEN,,6-support-writer,
FP-068,P0,CONFIRMED,Publication coverage,completed_with_limitations bypasses ordinary structured coverage restoration,publication-coverage.ts: if report.outcome != completed return true after special checks,Outcome label can bypass exact question/criterion coverage proof; degraded report can publish without machine-proving all unresolved critical requirements are disclosed,"Define limited-publication proof: restore coverage, map every unresolved/blocked critical question to explicit limitation, verify exact blocks/claims",Craft limited report missing one unresolved critical criterion => reject,IMPLEMENTED,22a38e5,6-support-writer,limited publication restores coverage; independent review accepted
FP-069,P1,CONFIRMED,Writer salvage,Unsupported writer heading can be replaced with generic 'Answer',draft-report writer heading salvage,Hides writer defect and degrades structure; can enable publication by changing semantics,Reject/repair heading with validator error; deterministic fallback only for non-semantic decorative labels with explicit version,Numeric/factual/claim headings never salvaged; repair gets reason,OPEN,,6-support-writer,
FP-070,P1,CONFIRMED,Report repair,Repair prompt does not receive exact validator errors,repairPass prompt path,Second paid call can repeat same defect,"Provide bounded redacted structural failure codes/paths, not sensitive raw values",First call invalid span/unsupported heading -> repair receives code and fixes,OPEN,,6-support-writer,
FP-071,P1,CONFIRMED,Report quality,Live wide-task writer still produces caveat/unpublished useful facts,J11 artifacts/status,Core user abandonment risk remains,Fix synthesis grounding so it restates approved claims exactly enough to publish useful answer; hierarchical synthesis for wide jobs,Live wide purchase/EV task with audited claims produces useful report,OPEN,,6-support-writer,
FP-072,P1,CONFIRMED,Long synthesis,Hierarchical synthesis is not default production path,status/modules,Complex jobs constrained by one-shot writer/output,Section/evidence hierarchy when complexity threshold warrants; final global citation/consistency review,Large task with >N claims produces complete report under context budget,OPEN,,6-support-writer,
FP-073,P1,HIGH,Calculation publication,Current calculated-report integration remains red,STATUS at 906 focused failures,Arithmetic path not regression-safe,Root-cause remaining completed/completed_with_limitations and unsupportedProse failures; do not change expectations blindly,Full PG 480/480 twice; arithmetic adversarial cases,PARTIAL,72c78ea,6-support-writer,calculationKeys selectable; int10 480/480; int11 key-cap pollution
FP-074,P2,CONFIRMED,Calculation coverage,Internal math nodes use synthetic keys math_i tied to entry order,calculated-coverage.ts,Order changes can alter identity and replay comparison,Stable key derived from calculation key/id,Reordered entries restore same semantic coverage,OPEN,,6-support-writer,
FP-075,P2,HIGH,Calculation display,calculationReportText emits verbose input statements into result block,calculation-report.ts,Long calculations can make report unreadable/duplicate evidence,Separate concise result from expandable proof inputs in UI/report model,Multi-input calculation bounded readable output,OPEN,,6-support-writer,
FP-076,P2,CONFIRMED,Report version semantics,Reports are version 1 per child run rather than monotonic version within conversation,worker reports,UI 'version' can be conceptually misleading across corrections,Document run-version vs conversation-version semantics; optionally add conversation report lineage version,Library/change summary shows correct lineage,OPEN,,6-support-writer,
FP-077,P0,CONFIRMED,Public activity,Mobile ignores typed sanitized activity and renders legacy type/publicSummary fields,backend /events returns activity + raw fields; mobile UiState.events omits activity; research-activity maps legacy,Typed safe event contract is not authoritative; privacy/truth improvements not actually wired,Make mobile consume only typed activity for progress UI; keep raw fields internal/non-returned where not needed,Private-looking summary never reaches UI when activity null; typed source metadata renders,FIXED,3d936a8df2c5e6b64add17f61c5d5cadacbb5b95,7-api-mobile,Merged Wave 7; mobile adoptPublicEvents consumes activity DTO only
FP-078,P1,CONFIRMED,Public activity API,/events still returns raw publicSummary even when sanitizer exists,api/app.ts,Sanitizer cannot serve as privacy boundary,Return versioned sanitized event DTO; omit/redact raw summary/payload to consumer API,CoT/private canary/raw URL payload absent from response,FIXED,3d936a8df2c5e6b64add17f61c5d5cadacbb5b95,7-api-mobile,Merged Wave 7; HTTP inject canary omits publicSummary/type/payload; canned phase on schema-fail
FP-079,P1,CONFIRMED,Activity truth,accepted event maps to intent_ready,public-activity.ts,UI can claim intent ready before compilation,Separate accepted vs intent_compiled,Event ordering test,OPEN,,7-api-mobile,
FP-080,P1,CONFIRMED,Activity truth,research_unresolved maps to plan_pivot,public-activity.ts,Failure/unresolved can look like healthy plan update,Dedicated unresolved/failed kind with user-safe wording,"Unresolved event shows limitation/failure, not pivot",OPEN,,7-api-mobile,
FP-081,P2,CONFIRMED,Mobile state,awaiting_input is treated as inProgress research,state.ts researchActivity,Can animate 'working' while waiting on user,Separate waiting-for-user from active provider/worker progress,Clarification screen has no active pulse/timer unless server doing work,OPEN,,7-api-mobile,
FP-082,P2,HIGH,Mobile restore,restoreAfterReopen upgrades progress/loading to completed whenever cached report exists,state.ts,Could misrepresent a newer child/current run if stale report coexists,Derive status from run lifecycle/snapshot; cached report does not override active run,Reopen during correction child with parent report visible,OPEN,,7-api-mobile,
FP-083,P1,CONFIRMED,Mobile query approval,Stale permission_required row can keep pending approval visible after approve,backend pending row behavior + mobile snap,User can be asked twice / UI stuck,Consume pending row and refresh exact state,Approve -> pending null immediately and after cold reopen,OPEN,,7-api-mobile,
FP-084,P1,CONFIRMED,Mobile assumptions,UI assumption edit uses in-place backend mutation,api.confirmAssumptions + backend,Same report can appear under changed assumptions,Use revisioned correction/clarification flow; show version transition,Edit assumption on completed report creates new research version,OPEN,,7-api-mobile,
FP-085,P1,CONFIRMED,Keyboard,Physical Android IME suggestion bar covers send control,v8k QA/status,Core composer action inaccessible/obscured,"Fix keyboard insets/controller before UI phase; current issue is functional, not visual polish",Physical device Gboard/suggestion bar screenshot/action,OPEN,,7-api-mobile,
FP-086,P2,CONFIRMED,Library scale,Library loads/filter all items client-side with no pagination,LibraryList/api library,History scale can degrade memory/network; search limited to loaded title/status,Server pagination/search or bounded page; preserve FlatList,1k/10k library synthetic performance,OPEN,,7-api-mobile,
FP-087,P2,CONFIRMED,Long report scale,Conversation/report still uses ScrollView; long live report not measured,App.tsx/state; matrix admits short fixture only,Potential jank/memory on real deep research,Measure 50/100+ blocks; virtualize if needed,"Device performance benchmark, not matrix PASS from short fixture",OPEN,,7-api-mobile,
